date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-04-13,118.95,120.6,116.6,119.75,14231.0
2020-04-14,119.9,120.35,115.75,117.2,14615.0
2020-04-15,117.0,121.2,114.6,120.2,9063.0
2020-04-16,119.85,120.85,117.9,118.6,7041.0
2020-04-17,118.3,119.6,115.7,116.05,10691.0
2020-04-20,116.3,116.75,113.05,113.65,5968.0
2020-04-21,113.0,113.55,109.35,109.65,8794.0
2020-04-22,109.65,112.1,109.65,110.6,124.0
2020-04-23,112.0,113.6,110.65,111.05,39.0
2020-04-24,109.45,109.45,105.0,105.2,35.0
2020-04-27,107.0,107.0,104.3,104.6,32.0
2020-04-28,,,,105.7,113.0
2020-04-29,104.05,104.1,103.5,103.65,16.0
2020-04-30,103.75,104.1,102.65,104.65,14.0
2020-05-01,104.25,104.25,103.7,104.45,2.0
2020-05-04,103.9,103.9,103.4,105.55,2.0
2020-05-05,108.3,108.3,108.3,108.85,49.0
2020-05-06,107.8,109.15,107.75,109.35,6.0
2020-05-07,107.0,107.0,104.6,107.45,4.0
2020-05-08,108.25,109.4,108.25,110.1,2.0
2020-05-11,108.2,108.2,108.2,108.95,10.0
2020-05-12,107.75,107.75,107.75,105.6,1.0
2020-05-13,104.5,104.5,103.65,103.55,57.0
2020-05-14,105.35,105.35,105.35,104.9,4.0
2020-05-15,105.0,105.0,105.0,104.8,1.0
2020-05-18,,,,105.7,4.0
2020-05-19,107.5,108.7,106.3,107.05,11518.0
2020-05-20,106.75,107.65,105.3,105.65,12399.0
2020-05-21,105.75,106.75,104.2,104.75,19211.0
2020-05-22,104.75,105.15,102.35,103.6,18541.0
2020-05-26,104.65,107.1,104.2,105.1,18345.0
2020-05-27,105.15,106.0,101.45,102.5,20950.0
2020-05-28,102.3,102.55,98.55,99.1,21073.0
2020-05-29,99.2,100.05,95.85,96.3,23795.0
2020-06-01,95.85,99.0,94.8,98.3,26971.0
2020-06-02,98.45,99.7,97.35,98.2,17761.0
2020-06-03,98.5,100.75,97.9,99.1,16879.0
2020-06-04,98.9,98.95,96.25,98.15,13953.0
2020-06-05,98.55,99.75,97.05,98.9,16818.0
2020-06-08,99.25,99.65,97.55,98.9,26561.0
2020-06-09,99.2,99.45,97.25,97.8,22764.0
2020-06-10,97.9,98.65,96.4,96.75,24680.0
2020-06-11,96.2,97.65,94.6,96.0,27278.0
2020-06-12,96.35,97.8,94.9,95.2,18281.0
2020-06-15,94.2,95.25,92.7,94.0,22016.0
2020-06-16,94.65,95.45,92.75,93.65,11584.0
2020-06-17,93.25,96.8,93.15,96.25,12234.0
2020-06-18,97.0,97.05,94.4,94.6,16437.0
2020-06-19,94.3,95.3,93.45,93.75,15815.0
2020-06-22,94.05,96.1,94.0,95.95,266.0
2020-06-23,96.25,97.55,95.75,96.25,30.0
2020-06-24,96.25,97.1,96.25,96.65,34.0
2020-06-25,96.65,97.1,94.55,94.85,45.0
2020-06-26,95.6,95.6,93.45,95.65,19.0
2020-06-29,100.45,101.45,98.45,98.65,16.0
2020-06-30,100.35,100.35,99.5,100.05,7.0
2020-07-01,102.8,102.8,102.05,103.05,4.0
2020-07-02,,,,102.25,
2020-07-06,97.35,97.35,97.35,97.2,47.0
2020-07-07,,,,99.25,
2020-07-08,,,,98.95,
2020-07-09,,,,97.7,
2020-07-10,96.8,96.95,95.45,96.15,4.0
2020-07-13,,,,97.4,
2020-07-14,,,,96.7,
2020-07-15,,,,95.95,
2020-07-16,,,,97.1,8.0
2020-07-17,,,,101.05,
2020-07-20,,,,98.5,
2020-07-21,,,,100.5,
2020-07-22,101.75,108.75,101.25,108.35,32829.0
2020-07-23,108.1,109.3,106.15,107.5,24990.0
2020-07-24,106.95,109.1,106.35,108.4,22539.0
2020-07-27,107.9,110.75,107.4,110.4,25735.0
2020-07-28,110.35,111.35,108.35,109.65,18617.0
2020-07-29,109.4,112.6,109.3,111.6,24211.0
2020-07-30,112.45,117.4,112.2,115.35,34126.0
